id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG43231,Legends of the Bastille,"Funck-Brentano, Frantz",1862,1947,['en'],18,"{'Latude, Henri Masers de, 1725-1805', 'Bastille', 'Mattioli, Ercole Antonio, conte, 1640-1703'}",Text
PG43232,The Preparation of Illustrations for Reports of the United States Geological Survey: With Brief Descriptions of Processes of Reproduction,"Ridgway, John L.",1859,1947,['en'],99,{'Illustration of books'},Text
PG43233,Recherches sur les substances radioactives,"Curie, Marie",1867,1934,['fr'],43,"{'Radioactive substances', 'Radioactivity'}",Text
PG43234,Bright Ideas: A Record of Invention and Misinvention,"Strang, Herbert",,,['en'],10,"{'Inventors -- Juvenile fiction', 'World War, 1914-1918 -- England -- Juvenile fiction', 'Boys -- Juvenile fiction'}",Text
PG43235,First on the Moon,"Sutton, Jeff",1913,1979,['en'],34,"{'Science fiction', 'Space flight to the moon -- Fiction', 'Adventure stories', 'Cold War -- Fiction', 'Spy stories', 'Moon -- Fiction'}",Text
PG43236,Kuninkaan tuomio: Näytelmä 3:ssa näytöksessä lauluineen,"Jaatinen, Otto Engb. (Otto Engelbert)",1881,1934,['fi'],1,{'Finnish drama'},Text
PG43237,The Spirit Land,"Emmons, Samuel B. (Samuel Bulfinch)",,,['en'],24,"{'Occultism -- Early works to 1900', 'Spiritualism'}",Text
PG43238,Princes and Poisoners: Studies of the Court of Louis XIV,"Funck-Brentano, Frantz",1862,1947,['en'],10,"{'Poisoners', 'France -- History -- Louis XIV, 1643-1715', 'France -- Court and courtiers'}",Text
PG43239,"L'Illustration, No. 0051, 17 Février 1844",Various,,,['fr'],2,{'Illustrated periodicals -- France'},Text
PG43240,"Alchemy: Ancient and Modern: Being a Brief Account of the Alchemistic Doctrines, and Their Relations, to Mysticism on the One Hand, and to Recent Discoveries in Physical Science on the Other Hand; Together with Some Particulars Regarding the Lives and Teachings of the Most Noted Alchemists","Redgrove, H. Stanley (Herbert Stanley)",1887,1943,['en'],125,{'Alchemy -- History'},Text
